History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,NAMS - Newamsterdam Pharma Co Nv,0.71,Add 25.88%,1894226,$35.08,"$66,449,000",,$35.24,0.46%,$14.06,$42.00,Lee Ainslie - Maverick Capital,1
≡,PCVX - Vaxcyte Inc.,0.67,Add 5.01%,1354237,$46.14,"$62,484,000",,$53.33,15.58%,$27.66,$85.22,Lee Ainslie - Maverick Capital,1
≡,MELI - Mercadolibre Inc.,0.57,Add 52.06%,26149,$2014.26,"$52,671,000",,$1975.51,-1.92%,$1723.90,$2645.22,Lee Ainslie - Maverick Capital,1
≡,DDOG - DATADOG Inc.,0.56,Add 13.13%,386254,$135.99,"$52,527,000",,$122.56,-9.88%,$81.63,$201.69,Lee Ainslie - Maverick Capital,1
≡,SNOW - Snowflake Inc.,0.53,Reduce 19.89%,225835,$219.36,"$49,539,000",,$177.10,-19.27%,$120.10,$280.67,Lee Ainslie - Maverick Capital,1
≡,IVVD - Invivyd Inc.,0.5,,18970913,$2.47,"$46,858,000",,$1.55,-37.25%,$0.46,$3.07,Lee Ainslie - Maverick Capital,1
≡,MMSI - Merit Medical Systems Inc.,0.46,Reduce 69.81%,486166,$88.14,"$42,851,000",,$81.59,-7.43%,$77.62,$109.79,Lee Ainslie - Maverick Capital,1
≡,CTRI - Centuri Holdings Inc,0.45,Buy,1672863,$25.25,"$42,240,000",,$31.29,23.92%,$14.46,$32.05,Lee Ainslie - Maverick Capital,1
≡,RBLX - Roblox Corp.,0.45,Add 25.82%,517798,$81.03,"$41,957,000",,$63.00,-22.25%,$50.10,$150.59,Lee Ainslie - Maverick Capital,1
≡,CNTA - Centessa Pharmaceuticals ADR,0.44,Buy,1643724,$25.01,"$41,110,000",,$24.94,-0.28%,$9.60,$30.58,Lee Ainslie - Maverick Capital,1
≡,FLUT - Flutter Entertainment Plc,0.43,Add 39.62%,187022,$215.04,"$40,217,000",,$123.91,-42.38%,$122.55,$313.69,Lee Ainslie - Maverick Capital,1
≡,MDLN - Medline Inc Cl A,0.36,Buy,796077,$42.00,"$33,435,000",,$46.16,9.90%,$34.89,$47.99,Lee Ainslie - Maverick Capital,1
≡,CPNG - Coupang Inc.,0.35,Reduce 34.00%,1368720,$23.59,"$32,288,000",,$17.43,-26.11%,$16.74,$34.08,Lee Ainslie - Maverick Capital,1
≡,SAIL - Sailpoint Inc,0.21,,966050,$20.23,"$19,543,000",,$15.65,-22.64%,$13.72,$26.35,Lee Ainslie - Maverick Capital,1
≡,QURE - uniQure NV,0.17,Buy,661820,$23.93,"$15,837,000",,$21.75,-9.11%,$7.76,$71.50,Lee Ainslie - Maverick Capital,1
≡,ACHC - Acadia Healthcare Co.,0.14,Reduce 69.88%,905419,$14.19,"$12,848,000",,$16.42,15.72%,$11.43,$42.85,Lee Ainslie - Maverick Capital,1
≡,STUB - Stubhub Holdings Inc Class A,0.14,,931473,$13.53,"$12,603,000",,$8.92,-34.07%,$8.30,$27.89,Lee Ainslie - Maverick Capital,1
≡,EVH - Evolent Health Inc.,0.11,Add 6.04%,2539930,$4.00,"$10,160,000",,$2.72,-32.00%,$2.56,$12.07,Lee Ainslie - Maverick Capital,1
≡,GUTS - Fractyl Health Inc,0.1,,4248492,$2.20,"$9,347,000",,$0.39,-82.27%,$0.38,$3.03,Lee Ainslie - Maverick Capital,1
≡,NTSK - Netskope Inc Cl A,0.09,,465736,$17.54,"$8,169,000",,$11.32,-35.46%,$10.96,$27.99,Lee Ainslie - Maverick Capital,1
≡,RCKT - Rocket Pharmaceuticals Inc.,0.09,Reduce 70.32%,2513110,$3.51,"$8,821,000",,$3.31,-5.70%,$2.19,$11.11,Lee Ainslie - Maverick Capital,1
≡,FDX - FedEx Corp.,0.08,Add 67.96%,25023,$288.85,"$7,228,000",,$375.30,29.93%,$190.84,$381.99,Lee Ainslie - Maverick Capital,1
≡,BKNG - Booking Holdings Inc.,0.06,Reduce 35.14%,1030,$5355.34,"$5,516,000",,$4140.15,-22.69%,$4020.54,$5818.25,Lee Ainslie - Maverick Capital,1
≡,KRUS - Kura Sushi USA Inc. CL A,0.06,Buy,101295,$52.33,"$5,301,000",,$69.88,33.54%,$40.03,$95.98,Lee Ainslie - Maverick Capital,1
≡,LTH - Life Time Group Holdings Inc,0.06,Reduce 37.26%,199413,$26.58,"$5,300,000",,$29.06,9.33%,$24.14,$34.99,Lee Ainslie - Maverick Capital,1
≡,PLAY - Dave & Buster's Ent. Inc.,0.06,Add 115.20%,325487,$16.21,"$5,276,000",,$15.83,-2.34%,$13.04,$35.53,Lee Ainslie - Maverick Capital,1
≡,ADBE - Adobe Inc.,0.05,Buy,14103,$350.00,"$4,936,000",,$260.45,-25.59%,$251.10,$464.33,Lee Ainslie - Maverick Capital,1
≡,AFRM - Affirm Holdings Inc.,0.05,Add 37.24%,66024,$74.43,"$4,914,000",,$51.60,-30.67%,$30.90,$100.00,Lee Ainslie - Maverick Capital,1
≡,ALL - Allstate Corp.,0.05,Add 46.32%,23798,$208.17,"$4,954,000",,$212.32,1.99%,$173.48,$216.75,Lee Ainslie - Maverick Capital,1
≡,ASO - Academy Sports and Outdoors Inc.,0.05,Add 451.57%,89106,$49.96,"$4,452,000",,$59.77,19.64%,$32.97,$60.55,Lee Ainslie - Maverick Capital,1
≡,CAL - Caleres Inc.,0.05,Add 56.43%,353129,$12.17,"$4,298,000",,$12.20,0.25%,$9.49,$18.00,Lee Ainslie - Maverick Capital,1
≡,CHTR - Charter Communications,0.05,Buy,23732,$208.75,"$4,954,000",,$237.01,13.54%,$180.38,$437.06,Lee Ainslie - Maverick Capital,1
≡,CRI - Carters Inc.,0.05,Add 19.75%,148790,$32.43,"$4,825,000",,$40.80,25.81%,$22.97,$52.17,Lee Ainslie - Maverick Capital,1
≡,CWH - Camping World Holdings Inc.,0.05,Buy,458424,$9.73,"$4,460,000",,$11.76,20.86%,$9.38,$22.16,Lee Ainslie - Maverick Capital,1
≡,EFX - Equifax Inc.,0.05,Buy,22896,$216.98,"$4,968,000",,$192.70,-11.19%,$166.02,$279.27,Lee Ainslie - Maverick Capital,1
≡,ERIE - Erie Indemnity Co. CL A,0.05,Buy,17317,$286.65,"$4,964,000",,$283.85,-0.98%,$267.40,$449.25,Lee Ainslie - Maverick Capital,1
≡,EXPE - Expedia Group Inc.,0.05,Buy,17947,$283.33,"$5,085,000",,$200.42,-29.26%,$129.24,$303.80,Lee Ainslie - Maverick Capital,1
≡,FERG - Ferguson Enterprises Inc.,0.05,Add 50.09%,22114,$222.62,"$4,923,000",,$259.67,16.64%,$144.32,$271.64,Lee Ainslie - Maverick Capital,1
≡,GDDY - GoDaddy Inc.,0.05,Add 188.44%,39923,$124.09,"$4,954,000",,$91.20,-26.50%,$87.13,$193.55,Lee Ainslie - Maverick Capital,1
≡,HRB - H&R Block Inc.,0.05,Buy,114426,$43.58,"$4,987,000",,$30.53,-29.94%,$28.16,$63.05,Lee Ainslie - Maverick Capital,1
≡,IMAX - IMAX Corp.,0.05,Buy,133358,$36.96,"$4,929,000",,$37.86,2.44%,$20.48,$39.98,Lee Ainslie - Maverick Capital,1
≡,INTU - Intuit Inc.,0.05,Add 1171.82%,7491,$662.39,"$4,962,000",,$379.17,-42.76%,$375.40,$810.72,Lee Ainslie - Maverick Capital,1
≡,LH - Labcorp Holdings Inc.,0.05,Add 73.06%,17564,$250.85,"$4,406,000",,$276.67,10.29%,$207.67,$292.94,Lee Ainslie - Maverick Capital,1
≡,LMND - Lemonade Inc.,0.05,Add 12.96%,69864,$71.18,"$4,973,000",,$64.59,-9.26%,$24.31,$99.90,Lee Ainslie - Maverick Capital,1
≡,LZ - Lubrizol Corp.,0.05,Buy,496034,$9.93,"$4,926,000",,$6.86,-30.92%,$6.47,$12.40,Lee Ainslie - Maverick Capital,1
≡,MUSA - Murphy USA Inc.,0.05,Buy,11023,$403.52,"$4,448,000",,$384.54,-4.70%,$344.15,$520.87,Lee Ainslie - Maverick Capital,1
≡,NFLX - Netflix Inc.,0.05,Buy,50797,$93.77,"$4,763,000",,$77.00,-17.88%,$75.23,$134.12,Lee Ainslie - Maverick Capital,1
≡,OLLI - Ollie's Bargain Outlet Hldgs,0.05,Buy,45061,$109.61,"$4,939,000",,$111.74,1.94%,$94.88,$141.74,Lee Ainslie - Maverick Capital,1
≡,ROKU - Roku Inc.,0.05,Add 46.45%,45571,$108.49,"$4,944,000",,$88.58,-18.35%,$52.43,$116.66,Lee Ainslie - Maverick Capital,1
≡,ROL - Rollins Inc.,0.05,Add 31.05%,77450,$60.03,"$4,649,000",,$60.08,0.08%,$49.15,$66.14,Lee Ainslie - Maverick Capital,1
≡,ROOT - Root Inc. CL A,0.05,Buy,63234,$72.22,"$4,567,000",,$61.67,-14.61%,$55.57,$181.14,Lee Ainslie - Maverick Capital,1
≡,RVLV - Revolve Group Inc.,0.05,Buy,147012,$30.19,"$4,438,000",,$24.63,-18.42%,$16.80,$31.68,Lee Ainslie - Maverick Capital,1
≡,SIRI - SiriusXM Holdings Inc,0.05,Add 65.45%,248591,$20.00,"$4,971,000",,$21.02,5.10%,$17.77,$26.06,Lee Ainslie - Maverick Capital,1
≡,SITE - SiteOne Landscape Supply Inc.,0.05,Buy,39632,$124.57,"$4,937,000",,$153.53,23.25%,$101.25,$168.56,Lee Ainslie - Maverick Capital,1
≡,SMA - Smartstop Self Storage Reit,0.05,Add 70.48%,159563,$30.94,"$4,937,000",,$34.28,10.80%,$28.75,$38.98,Lee Ainslie - Maverick Capital,1
≡,TDUP - ThredUp Inc.,0.05,Add 63.52%,691689,$6.39,"$4,420,000",,$4.61,-27.86%,$2.02,$12.28,Lee Ainslie - Maverick Capital,1
≡,TRUP - Trupanion Inc.,0.05,Add 68.20%,133873,$37.37,"$5,003,000",,$28.99,-22.42%,$27.30,$57.89,Lee Ainslie - Maverick Capital,1
≡,YOU - Clear Secure Inc.,0.05,Add 48.36%,140149,$35.08,"$4,916,000",,$32.50,-7.35%,$21.09,$42.29,Lee Ainslie - Maverick Capital,1
≡,ZM - Zoom Video Communications Inc.,0.05,Add 33.71%,56027,$86.30,"$4,835,000",,$88.65,2.72%,$64.41,$97.58,Lee Ainslie - Maverick Capital,1
≡,AD - Array Digital Infrastructure Inc.,0.04,Reduce 4.59%,64594,$53.63,"$3,464,000",,$51.24,-4.46%,$33.68,$51.96,Lee Ainslie - Maverick Capital,1
≡,BKE - Buckle Inc.,0.04,Reduce 40.50%,61083,$53.42,"$3,263,000",,$53.87,0.84%,$30.40,$57.60,Lee Ainslie - Maverick Capital,1
≡,BOOT - Boot Barn Holdings,0.04,Add 199.54%,21432,$176.47,"$3,782,000",,$197.53,11.93%,$86.17,$210.25,Lee Ainslie - Maverick Capital,1
≡,DAVE - Dave Inc,0.04,Add 136.44%,16376,$221.42,"$3,626,000",,$176.61,-20.24%,$65.46,$286.45,Lee Ainslie - Maverick Capital,1
≡,DGX - Quest Diagnostics,0.04,Add 31.45%,23895,$173.51,"$4,146,000",,$205.49,18.43%,$155.09,$213.20,Lee Ainslie - Maverick Capital,1
≡,EL - Estee Lauder Cos.,0.04,Add 46.02%,33440,$104.72,"$3,502,000",,$112.14,7.09%,$47.76,$121.64,Lee Ainslie - Maverick Capital,1
≡,FVRR - Fiverr Int Ltd,0.04,Buy,202094,$19.76,"$3,993,000",,$13.10,-33.70%,$13.07,$35.40,Lee Ainslie - Maverick Capital,1
≡,MCD - McDonald's Corp.,0.04,Buy,12453,$305.63,"$3,806,000",,$327.62,7.19%,$280.19,$335.67,Lee Ainslie - Maverick Capital,1
≡,AAL - American Airlines Group Inc.,0.03,Buy,164825,$15.33,"$2,527,000",,$14.40,-6.07%,$8.50,$16.50,Lee Ainslie - Maverick Capital,1
≡,AEO - American Eagle Outfitters,0.03,Reduce 67.46%,94930,$26.37,"$2,503,000",,$24.93,-5.46%,$9.04,$28.33,Lee Ainslie - Maverick Capital,1
≡,ANF - Abercrombie & Fitch Co.,0.03,Buy,19463,$125.88,"$2,450,000",,$94.11,-25.24%,$65.40,$133.11,Lee Ainslie - Maverick Capital,1
≡,AS - Amer Sports Inc,0.03,Reduce 32.42%,67859,$37.36,"$2,535,000",,$40.26,7.76%,$20.21,$42.36,Lee Ainslie - Maverick Capital,1
≡,BBY - Best Buy Co. Inc.,0.03,Add 1.86%,35479,$66.94,"$2,375,000",,$66.10,-1.25%,$52.85,$87.00,Lee Ainslie - Maverick Capital,1
≡,BJ - BJ's Wholesale Club,0.03,Buy,26740,$90.01,"$2,407,000",,$99.44,10.48%,$86.68,$121.10,Lee Ainslie - Maverick Capital,1
≡,BLCO - Bausch + Lomb Corp,0.03,Reduce 14.39%,152183,$17.08,"$2,599,000",,$17.73,3.81%,$10.45,$17.91,Lee Ainslie - Maverick Capital,1
≡,CAG - Conagra Brands Inc.,0.03,Buy,144402,$17.31,"$2,500,000",,$18.89,9.13%,$15.65,$26.52,Lee Ainslie - Maverick Capital,1
≡,CALY - Callaway Golf Co.,0.03,Reduce 27.44%,258111,$11.67,"$3,012,000",,$13.42,15.00%,$5.42,$16.65,Lee Ainslie - Maverick Capital,1
≡,CAVA - Cava Group Inc,0.03,Add 18.96%,42161,$58.68,"$2,474,000",,$63.31,7.89%,$43.41,$134.73,Lee Ainslie - Maverick Capital,1
≡,CHWY - Chewy Inc.,0.03,Reduce 55.42%,74985,$33.05,"$2,478,000",,$23.80,-27.99%,$23.06,$48.62,Lee Ainslie - Maverick Capital,1
≡,COCO - Vita Coco Co Inc,0.03,Reduce 55.65%,58561,$53.00,"$3,104,000",,$56.52,6.64%,$25.79,$59.88,Lee Ainslie - Maverick Capital,1
≡,COST - Costco Co.,0.03,Buy,2894,$862.47,"$2,496,000",,$1012.05,17.34%,$842.91,$1065.16,Lee Ainslie - Maverick Capital,1
≡,DECK - Deckers Outdoor,0.03,Buy,24097,$103.66,"$2,498,000",,$117.35,13.21%,$78.91,$156.61,Lee Ainslie - Maverick Capital,1
≡,ELAN - Elanco Animal Health Inc.,0.03,Add 240.39%,106593,$22.63,"$2,412,000",,$24.86,9.85%,$8.02,$26.08,Lee Ainslie - Maverick Capital,1
≡,ETSY - Etsy Inc.,0.03,Buy,45034,$55.45,"$2,497,000",,$44.36,-20.00%,$40.05,$76.52,Lee Ainslie - Maverick Capital,1
≡,LULU - Lululemon Athletica Inc.,0.03,Reduce 2.52%,11933,$207.83,"$2,480,000",,$177.72,-14.49%,$159.25,$374.41,Lee Ainslie - Maverick Capital,1
≡,MKC - McCormick & Co.,0.03,Buy,44533,$68.11,"$3,033,000",,$69.19,1.59%,$59.62,$84.04,Lee Ainslie - Maverick Capital,1
≡,NKE - NIKE Inc.,0.03,Buy,37610,$63.71,"$2,396,000",,$64.82,1.74%,$51.34,$80.55,Lee Ainslie - Maverick Capital,1
≡,REYN - Reynolds Consumer Products Inc.,0.03,Reduce 38.64%,138396,$22.92,"$3,172,000",,$23.63,3.10%,$20.31,$25.75,Lee Ainslie - Maverick Capital,1
≡,SEB - Seaboard Corp.,0.03,Buy,693,$4444.44,"$3,080,000",,$4915.02,10.59%,$2433.99,$5654.00,Lee Ainslie - Maverick Capital,1
≡,SJM - J.M. Smucker Co,0.03,Reduce 15.77%,27912,$97.81,"$2,730,000",,$106.22,8.60%,$90.55,$116.77,Lee Ainslie - Maverick Capital,1
≡,SN - Sharkninja Inc,0.03,Buy,22474,$111.91,"$2,515,000",,$131.45,17.46%,$60.50,$133.99,Lee Ainslie - Maverick Capital,1
≡,SPB - Spectrum Brands Holdings Inc.,0.03,Buy,51588,$59.08,"$3,048,000",,$77.36,30.94%,$49.27,$77.90,Lee Ainslie - Maverick Capital,1
≡,TPB - Turning Point Brands Inc.,0.03,Reduce 31.82%,21675,$108.42,"$2,350,000",,$132.62,22.32%,$51.36,$133.37,Lee Ainslie - Maverick Capital,1
≡,TPR - Tapestry Inc.,0.03,Buy,19582,$127.77,"$2,502,000",,$153.85,20.41%,$57.71,$158.28,Lee Ainslie - Maverick Capital,1
≡,UAL - United Airlines Holdings Inc.,0.03,Buy,20942,$111.83,"$2,342,000",,$114.02,1.96%,$52.00,$119.21,Lee Ainslie - Maverick Capital,1
≡,VLO - Valero Energy,0.03,Buy,15081,$162.79,"$2,455,000",,$197.34,21.22%,$96.17,$206.77,Lee Ainslie - Maverick Capital,1
≡,WINA - Winmark Corp.,0.03,Reduce 35.57%,6935,$404.90,"$2,808,000",,$458.16,13.15%,$286.35,$512.96,Lee Ainslie - Maverick Capital,1
≡,WMK - Weis Markets Inc.,0.03,Reduce 43.62%,49169,$64.09,"$3,151,000",,$72.92,13.78%,$60.93,$88.58,Lee Ainslie - Maverick Capital,1
≡,ALK - Alaska Air Group,0.02,Buy,44862,$50.31,"$2,257,000",,$57.08,13.46%,$37.63,$78.08,Lee Ainslie - Maverick Capital,1
≡,AMBQ - Ambiq Micro Inc,0.02,,59248,$28.51,"$1,689,000",,$29.63,3.93%,$22.12,$51.76,Lee Ainslie - Maverick Capital,1
≡,BTI - British American Tobacco plc,0.02,Reduce 32.41%,30360,$56.62,"$1,719,000",,$58.91,4.04%,$35.00,$63.03,Lee Ainslie - Maverick Capital,1
≡,BUD - Anheuser-Busch InBev,0.02,Add 33.95%,35898,$64.04,"$2,299,000",,$79.29,23.81%,$51.43,$81.56,Lee Ainslie - Maverick Capital,1
≡,CABO - Cable ONE Inc.,0.02,Add 7.54%,19552,$112.83,"$2,206,000",,$103.29,-8.46%,$70.37,$293.88,Lee Ainslie - Maverick Capital,1
≡,EBAY - eBay Inc.,0.02,Buy,24057,$87.08,"$2,095,000",,$79.95,-8.19%,$58.09,$100.76,Lee Ainslie - Maverick Capital,1
≡,GAP - Gap Inc.,0.02,Reduce 64.66%,59454,$25.60,"$1,522,000",,$27.60,7.81%,$16.48,$29.24,Lee Ainslie - Maverick Capital,1
≡,HSY - Hershey Co.,0.02,Buy,10500,$182.00,"$1,911,000",,$219.40,20.55%,$146.80,$233.34,Lee Ainslie - Maverick Capital,1
≡,KHC - Kraft Heinz Co.,0.02,Add 33.28%,87829,$24.25,"$2,130,000",,$23.78,-1.94%,$21.99,$31.87,Lee Ainslie - Maverick Capital,1
≡,LOW - Lowe's Cos.,0.02,Add 123.97%,8316,$241.10,"$2,005,000",,$281.16,16.62%,$202.31,$293.06,Lee Ainslie - Maverick Capital,1
≡,LUV - Southwest Airlines,0.02,Buy,43518,$41.34,"$1,799,000",,$54.26,31.25%,$23.44,$55.11,Lee Ainslie - Maverick Capital,1
≡,MAR - Marriott Int'l.,0.02,Buy,6955,$310.28,"$2,158,000",,$359.94,16.00%,$203.87,$370.00,Lee Ainslie - Maverick Capital,1
≡,MZTI - The Marzetti Company,0.02,Buy,9383,$164.45,"$1,543,000",,$158.38,-3.69%,$152.02,$194.09,Lee Ainslie - Maverick Capital,1
≡,NVS - Novartis AG,0.02,Add 34.68%,11073,$137.90,"$1,527,000",,$166.17,20.50%,$97.72,$167.29,Lee Ainslie - Maverick Capital,1
≡,NYT - New York Times CL A,0.02,Reduce 65.03%,21247,$69.42,"$1,475,000",,$74.03,6.64%,$44.43,$74.59,Lee Ainslie - Maverick Capital,1
≡,QDEL - QuidelOrtho Corp.,0.02,Reduce 12.48%,59783,$28.55,"$1,707,000",,$23.13,-18.98%,$19.50,$42.50,Lee Ainslie - Maverick Capital,1
≡,RH - RH,0.02,Buy,12436,$179.16,"$2,228,000",,$208.72,16.50%,$123.03,$389.20,Lee Ainslie - Maverick Capital,1
≡,ROST - Ross Stores Inc.,0.02,Reduce 82.32%,9566,$180.12,"$1,723,000",,$198.21,10.04%,$121.41,$198.98,Lee Ainslie - Maverick Capital,1
≡,TSN - Tyson Foods,0.02,Reduce 49.73%,35080,$58.61,"$2,056,000",,$62.90,7.32%,$50.12,$66.41,Lee Ainslie - Maverick Capital,1
≡,WDFC - WD-40 Co.,0.02,Buy,10686,$196.89,"$2,104,000",,$241.24,22.53%,$174.51,$253.24,Lee Ainslie - Maverick Capital,1
≡,WMT - Walmart Inc.,0.02,Buy,17151,$111.42,"$1,911,000",,$128.85,15.64%,$79.27,$134.69,Lee Ainslie - Maverick Capital,1
≡,YUM - Yum! Brands Inc.,0.02,Buy,11017,$151.31,"$1,667,000",,$161.19,6.53%,$136.66,$165.32,Lee Ainslie - Maverick Capital,1
≡,ABNB - Airbnb Inc.,0.01,Buy,8531,$135.74,"$1,158,000",,$124.23,-8.48%,$99.88,$162.58,Lee Ainslie - Maverick Capital,1
≡,BROS - Dutch Bros Inc Class A,0.01,Buy,8123,$61.18,"$497,000",,$53.61,-12.37%,$47.16,$86.88,Lee Ainslie - Maverick Capital,1
≡,CL - Colgate-Palmolive,0.01,Reduce 67.31%,9670,$79.01,"$764,000",,$95.65,21.06%,$74.09,$98.13,Lee Ainslie - Maverick Capital,1
≡,CPB - Campbell's Co.,0.01,Buy,33206,$27.86,"$925,000",,$27.77,-0.32%,$25.62,$41.73,Lee Ainslie - Maverick Capital,1
≡,CRBU - Caribou Biosciences Inc.,0.01,,652542,$1.59,"$1,038,000",,$1.55,-2.52%,$0.66,$3.54,Lee Ainslie - Maverick Capital,1
≡,ENR - Energizer Holdings Inc.,0.01,Buy,49793,$19.88,"$990,000",,$22.99,15.64%,$16.55,$30.13,Lee Ainslie - Maverick Capital,1
≡,FND - Floor & Decor Holdings,0.01,Reduce 41.49%,15624,$60.87,"$951,000",,$69.25,13.77%,$55.11,$103.87,Lee Ainslie - Maverick Capital,1
≡,GEN - Gen Digital Inc.,0.01,Buy,19460,$27.18,"$529,000",,$22.81,-16.08%,$22.02,$31.77,Lee Ainslie - Maverick Capital,1
≡,KDP - Keurig Dr Pepper Inc.,0.01,Reduce 28.59%,47454,$28.01,"$1,329,000",,$29.13,4.00%,$24.82,$35.32,Lee Ainslie - Maverick Capital,1
≡,MDLZ - Mondelez International,0.01,Reduce 73.98%,9989,$53.86,"$538,000",,$59.86,11.14%,$51.20,$69.94,Lee Ainslie - Maverick Capital,1
≡,MO - Altria Group Inc.,0.01,Reduce 61.85%,15423,$57.64,"$889,000",,$66.54,15.44%,$48.95,$67.77,Lee Ainslie - Maverick Capital,1
≡,PEP - PepsiCo Inc.,0.01,Reduce 75.25%,3976,$143.61,"$571,000",,$161.92,12.75%,$123.93,$171.48,Lee Ainslie - Maverick Capital,1
≡,PRMB - Primo Brands Corp,0.01,Reduce 97.39%,44083,$16.36,"$721,000",,$18.28,11.74%,$14.26,$35.35,Lee Ainslie - Maverick Capital,1
≡,SAM - Boston Beer Company,0.01,Reduce 62.72%,5234,$195.07,"$1,021,000",,$231.71,18.78%,$185.34,$260.00,Lee Ainslie - Maverick Capital,1
≡,SHG - Shinhan Financial Group Company,0.01,Buy,14071,$53.66,"$755,000",,$69.24,29.03%,$28.18,$73.40,Lee Ainslie - Maverick Capital,1
≡,SVV - Savers Value Village Inc,0.01,Buy,119479,$9.34,"$1,116,000",,$10.90,16.70%,$6.48,$13.89,Lee Ainslie - Maverick Capital,1
≡,TGT - Target Corp.,0.01,Buy,5067,$97.69,"$495,000",,$116.54,19.30%,$82.60,$125.93,Lee Ainslie - Maverick Capital,1
≡,ULTA - Ulta Beauty Inc.,0.01,Reduce 87.84%,817,$604.65,"$494,000",,$706.82,16.90%,$309.01,$707.25,Lee Ainslie - Maverick Capital,1
≡,UPS - United Parcel Service,0.01,Reduce 83.93%,6750,$99.26,"$670,000",,$115.51,16.37%,$79.49,$120.73,Lee Ainslie - Maverick Capital,1
≡,VITL - Vital Signs,0.01,Reduce 66.26%,35856,$31.93,"$1,145,000",,$28.24,-11.56%,$25.51,$53.13,Lee Ainslie - Maverick Capital,1
≡,BYRN - Byrna Technologies Inc,0.0,Reduce 89.17%,11715,$16.82,"$197,000",,$12.64,-24.85%,$11.13,$34.30,Lee Ainslie - Maverick Capital,1
≡,CRIS - Curis Inc.,0.0,,49554,$0.12,"$6,000",,$1.06,783.33%,$0.77,$3.41,Lee Ainslie - Maverick Capital,1
≡,FRPT - Freshpet Inc.,0.0,Buy,7561,$60.97,"$461,000",,$71.69,17.58%,$46.76,$132.86,Lee Ainslie - Maverick Capital,1
≡,AMZN - Amazon.com Inc.,33.1,Reduce 3.22%,7314534,$230.82,"$1,688,341,000",,$201.15,-12.85%,$161.38,$258.60,AltaRock Partners,1
≡,TDG - TransDigm Group Inc.,25.28,Reduce 0.72%,969400,$1329.85,"$1,289,157,000",,$1302.11,-2.09%,$1107.45,$1519.35,AltaRock Partners,1
≡,MSFT - Microsoft Corp.,19.75,Reduce 18.95%,2082357,$483.62,"$1,007,069,000",,$396.86,-17.94%,$342.95,$553.50,AltaRock Partners,1
≡,MCO - Moody's Corp.,8.16,Reduce 14.15%,814503,$510.85,"$416,089,000",,$423.22,-17.15%,$376.55,$546.88,AltaRock Partners,1
≡,MA - Mastercard Inc.,6.07,Reduce 7.23%,541836,$570.88,"$309,323,000",,$521.93,-8.57%,$462.92,$600.08,AltaRock Partners,1
≡,V - Visa Inc.,3.55,Reduce 3.16%,516677,$350.71,"$181,204,000",,$319.50,-8.90%,$296.78,$373.34,AltaRock Partners,1
≡,HLT - Hilton Worldwide Holdings,3.06,,542613,$287.25,"$155,866,000",,$317.82,10.64%,$195.70,$333.86,AltaRock Partners,1
≡,GOOGL - Alphabet Inc.,1.04,Reduce 50.81%,169391,$313.00,"$53,019,000",,$302.02,-3.51%,$140.14,$349.00,AltaRock Partners,1
≡,MA - Mastercard Inc.,18.81,Reduce 4.76%,3005280,$570.88,"$1,715,654,000",,$521.93,-8.57%,$462.92,$600.08,Chuck Akre - Akre Capital Management,1
≡,BN - Brookfield Corp.,13.51,Reduce 6.87%,26843633,$45.89,"$1,231,854,000",,$47.78,4.12%,$28.95,$49.57,Chuck Akre - Akre Capital Management,1
≡,KKR - KKR & Co. L.P.,11.33,Reduce 6.97%,8106049,$127.48,"$1,033,359,000",,$102.55,-19.56%,$85.62,$153.15,Chuck Akre - Akre Capital Management,1
≡,V - Visa Inc.,10.29,Reduce 9.99%,2676628,$350.71,"$938,720,000",,$319.50,-8.90%,$296.78,$373.34,Chuck Akre - Akre Capital Management,1
≡,MCO - Moody's Corp.,9.72,Reduce 18.11%,1735231,$510.85,"$886,443,000",,$423.22,-17.15%,$376.55,$546.88,Chuck Akre - Akre Capital Management,1
≡,CSGP - CoStar Group Inc.,7.09,Add 3.35%,9617805,$67.24,"$646,701,000",,$45.74,-31.98%,$43.80,$97.43,Chuck Akre - Akre Capital Management,1
≡,ORLY - O'Reilly Automotive,6.72,Reduce 21.98%,6719819,$91.21,"$612,915,000",,$92.60,1.52%,$85.55,$108.72,Chuck Akre - Akre Capital Management,1
≡,ROP - Roper Technologies Inc.,5.39,Reduce 4.45%,1105153,$445.13,"$491,937,000",,$315.53,-29.12%,$313.07,$591.26,Chuck Akre - Akre Capital Management,1
≡,ABNB - Airbnb Inc.,5.17,,3473243,$135.72,"$471,389,000",,$124.23,-8.47%,$99.88,$162.58,Chuck Akre - Akre Capital Management,1
≡,FICO - Fair Isaac Corp.,5.14,Add 6.36%,277445,$1690.62,"$469,054,000",,$1351.60,-20.05%,$1280.86,$2217.60,Chuck Akre - Akre Capital Management,1
≡,CPRT - Copart Inc.,3.38,Add 85.71%,7867967,$39.15,"$308,031,000",,$37.52,-4.16%,$36.52,$63.85,Chuck Akre - Akre Capital Management,1
≡,CCC - CCC Intelligent Solutions Hldgs Inc.,2.16,Add 52.65%,24836984,$7.95,"$197,454,000",,$5.04,-36.60%,$4.91,$10.88,Chuck Akre - Akre Capital Management,1
